BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,IsDifficult,IsUnderstand,GazeMove_L,HM_Min,HM_Max,HM_Mean,DiffCrossPos_Min,DiffCrossPos_Max,DiffCrossPos_Mean,Page,Panel
1.0,1.0,1.0,1.0,1.0,1.0,2.0,42.0,45.0,43.5,87.0,0.9666666666666667,2.348274333333348,2.461456333333349,2.401958003703718,False,False,452.86976000985356,0.9279560041473579,0.999879077045872,0.9848165870769044,-65.91843709020992,2.2620911977545153,-0.7687883230583294,2,6
1.0,1.0,1.0,1.0,1.0,1.0,2.0,15.0,68.0,41.5,83.0,0.9222222222222223,2.321563500000016,2.582458500000016,2.4081234574074233,False,False,2983.694222546119,0.1065490165854838,0.9982684702811732,0.9031530516301709,-65.91843709020992,2.3114178363618727,-0.758255140697956,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,9.0,47.0,27.333333333333332,82.0,0.9111111111111111,2.321563500000016,2.5963108333333498,2.4435727814814983,False,False,2968.983493218897,0.1065490165854838,0.9968284630433596,0.908592548514528,-12.219198261185104,2.3114178363618727,0.2998134400187388,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,19.0,32.0,27.333333333333332,82.0,0.9111111111111111,2.3734133333333496,2.6206206666666843,2.5255968759259444,False,False,518.8436794302052,0.9601537654662692,0.9998859071692956,0.9908049536473532,-2.373512311491227,2.3088044713744185,0.264804543842235,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,54.0,28.0,84.0,0.9333333333333333,2.458775833333351,2.6206206666666843,2.557564905555573,False,False,429.5111928984227,0.8626704414812117,0.9998859071692956,0.9849541586026455,-6.8126205811924425,2.3140306190272812,-0.02027973285299536,2,6
1.0,1.0,1.0,1.0,1.0,1.0,2.0,35.0,53.0,44.0,88.0,0.9777777777777777,2.458775833333351,2.583231500000017,2.537708194444462,False,False,339.8314300877739,0.8626704414812117,0.999879077045872,0.9540513922995595,-6.8126205811924425,2.3140306190272812,-0.48545226887469917,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,9.0,47.0,27.333333333333332,82.0,0.9111111111111111,2.496220833333352,2.6151860000000178,2.5466720962963136,False,False,513.705035153634,0.2705276017461781,0.9610496092487693,0.8227967264117508,-6.190937923122098,2.3377575909547668,-0.07462796209637441,2,6
1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,29.0,19.25,77.0,0.8555555555555555,2.4876045000000206,2.6151860000000178,2.5479268444444645,False,False,819.9283742149919,0.16685108465767115,0.9573713274762384,0.4628166450187063,-6.190937923122098,2.3377575909547668,1.0681159500727293,2,6
1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.0,20.0,17.75,71.0,0.7888888888888889,2.4876045000000206,2.584175166666688,2.5341496555555785,False,False,1089.2086540531182,0.16685108465767115,1.0,0.42196192749082906,-0.24733734660790985,2.2705092445444555,1.3096183338426468,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,35.0,22.0,66.0,0.7333333333333333,2.499280333333356,2.5740813333333548,2.52903920921988,False,False,700.2154121031017,0.27623103506703883,1.0,0.6281486990588312,-0.24733734660790985,2.221384803062683,1.055171684562997,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,20.0,13.333333333333334,40.0,0.4444444444444444,2.4069088333333672,2.87329383333337,2.5316001250000344,False,False,1401.2388735256602,0.05244373959766401,0.6122536285765865,0.30605768838292535,-1.7568582321777133,2.290453204788591,1.4103678166690556,3,-1
1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,46.0,28.0,56.0,0.6222222222222222,2.398236666666701,2.6066311666667024,2.4508801759259615,False,False,1481.4962380291981,0.1956587639036563,0.6221044550429318,0.5418756370237903,-1.7568582321777133,2.290453204788591,1.6980358778463809,3,1
