BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,Panel,IsDifficult,IsUnderStand
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1,0.011111111111111112,3.811393833333234,3.811393833333234,3.811393833333234,0.0,0.9871851240080128,0.9871851240080128,0.9871851240080128,1.5185153453288116,1.5185153453288116,1.5185153453288116,2,-1,,
1.0,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5111111111111111,1.0,1.0,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5111111111111111,1.0,46,0.5111111111111111,3.702362166666569,3.8367691666665684,3.770546521739033,272.90071412868144,0.7111921423582658,0.99987778262814,0.9643723046588212,0.40867760877745307,1.677411096610042,1.096356240771722,2,1,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1,0.011111111111111112,3.7303008333332337,3.7303008333332337,3.7303008333332337,0.0,0.7123168582210665,0.7123168582210665,0.7123168582210665,1.3998399123777516,1.3998399123777516,1.3998399123777516,2,-1,,
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,2,0.022222222222222223,3.7287214999999008,3.7316768333332337,3.7301991666665675,70.61522480952674,0.3312111950659736,0.7123168582210665,0.5217640266435201,1.3687699911449598,1.677947328470623,1.5233586598077915,2,1,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,2,0.022222222222222223,3.7465973333332334,3.7468643333332334,3.7467308333332334,26.188919638847253,0.3312111950659736,0.43739787848687056,0.38430453677642207,1.6089297192353187,1.6781844620156625,1.6435570906254906,2,-1,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1,0.011111111111111112,3.7455621666665686,3.7455621666665686,3.7455621666665686,0.0,0.43739787848687056,0.43739787848687056,0.43739787848687056,1.641368700391531,1.641368700391531,1.641368700391531,2,1,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,2,0.022222222222222223,3.753588333333235,3.7717768333332335,3.762682583333234,104.13457232374844,0.43739787848687056,0.9841550845941942,0.7107764815405324,1.5004928267875282,1.641368700391531,1.5709307635895295,2,-1,,
1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,12,0.13333333333333333,3.763196166666566,3.7899653333332335,3.7769421527776785,39.70158510949845,0.989198429453436,0.9999815825132804,0.9959119428526487,0.12852639559594747,1.46734726879151,1.3035289840032964,2,1,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,2,0.022222222222222223,3.799344333333233,3.8010253333332336,3.8001848333332333,3.1661999999999466,0.9903491547710032,0.990643232161215,0.9904961934661091,0.12852639559594747,1.237602735976812,0.6830645657863798,2,-1,,
1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.5,6,0.06666666666666667,3.7103014999999018,3.8073578333332336,3.7630580555554562,143.1241987618968,0.4957785986016338,0.9848261365192308,0.8218102905466984,0.7372467438167052,1.6623542477261983,1.2556687518982586,2,1,False,False
